,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Samarai,92,PG,1553385268,100,-10.62,150.67,78.55,7.74
1,Salalah,40,OM,1553381400,78,17.01,54.1,78.8,8.05
2,Ushuaia,40,AR,1553382000,62,-54.81,-68.31,53.6,8.05
3,Arraial do Cabo,20,BR,1553382000,88,-22.97,-42.02,73.4,2.24
4,Oktyabrskoye,0,RU,1553383883,80,56.73,85.44,33.01,6.71
5,Mount Gambier,90,AU,1553382000,100,-37.83,140.78,60.8,8.05
6,Tuktoyaktuk,75,CA,1553382000,72,69.44,-133.03,14.0,21.92
7,Sao Geraldo do Araguaia,80,BR,1553385840,92,-6.4,-48.55,76.48,3.38
8,Coari,32,BR,1553385842,75,-4.09,-63.14,83.32,5.95
9,Mataura,92,NZ,1553385549,51,-46.19,168.86,70.81,5.95
10,Emirdag,0,TR,1553385844,73,39.02,31.15,25.54,4.05
11,Hobart,20,AU,1553385441,52,-42.88,147.33,69.01,9.17
12,Busselton,12,AU,1553385728,56,-33.64,115.35,55.99,13.33
13,Lompoc,40,US,1553385622,63,34.64,-120.46,66.0,11.41
14,Saldanha,0,PT,1553385552,68,41.42,-6.55,44.8,4.94
15,Cabo San Lucas,5,MX,1553385719,47,22.89,-109.91,79.0,9.17
16,Yellowknife,20,CA,1553385749,43,62.45,-114.38,14.0,10.29
17,Barrow,24,AR,1553385852,85,-38.31,-60.23,57.85,12.77
18,Puerto Ayora,20,EC,1553384831,74,-0.74,-90.35,84.2,11.41
19,Ternate,20,PH,1553385581,69,14.29,120.72,84.99,9.17
20,Zhanakorgan,92,KZ,1553385856,89,43.91,67.25,47.23,5.61
21,Coahuayana,0,MX,1553385656,20,18.62,-100.35,83.5,2.48
22,Sao Filipe,0,CV,1553385721,98,14.9,-24.5,69.91,13.22
23,Gua,0,PH,1553385860,93,11.21,122.05,78.64,15.46
24,Rikitea,80,PF,1553385667,97,-23.12,-134.97,79.72,17.69
25,East London,0,ZA,1553385804,91,-33.02,27.91,76.12,24.52
26,Ancud,90,CL,1553382000,82,-41.87,-73.83,55.4,1.12
27,Port Elizabeth,1,US,1553385864,24,39.31,-74.98,50.0,16.11
28,Bluff,0,AU,1553385570,63,-23.58,149.07,83.86,5.61
29,Kapaa,90,US,1553385812,78,22.08,-159.32,80.6,17.22
30,Colesberg,88,ZA,1553385869,52,-30.72,25.1,66.31,3.38
31,Isiro,24,CD,1553385870,73,2.77,27.62,72.52,5.17
32,Kupang,12,ID,1553385609,90,-10.16,123.6,84.04,10.65
